BindingDB Reactant_set_id,Ligand SMILES,IC50 (nM)
50585631,N[C@]1(CNC(=O)c2ccc(F)cc2)CCN(C1)c1ncnc2[nH]cc(Cl)c12,2.6
603097,COc1cc(nn2c(c(nc12)-c1ccc(cc1)C1(N)CCC1)-c1ccccc1)C(C)=O,2.6
329814,Nc1ncnc(N2CCC(CC2)c2nc(cn2CCN2CCC2)-c2ccc(F)c(c2)C(F)(F)F)c1C#N,2.6
330036,CCN(CC)CCn1cc(nc1C1CCN(CC1)c1ncnc(N)c1CC)-c1ccc(F)c(C)c1,2.6
330044,CCN(CC)CCn1cc(nc1C1CCN(CC1)c1ncnc(N)c1OC(C)C)-c1ccc(F)c(C)c1,2.6
875712,C=CC(=O)Nc1cccc(c1)C(=O)NC1CCN(Cc2ccc(cc2)-c2nc3cc[nH]c(=O)c3cc2-c2ccccc2)CC1,2.7
1135371,NCC1(CCN(CC1)c1ncnc2[nH]ccc12)C(=O)NC(CCO)c1ccc(Cl)cc1,2.7
51296601,Cn1ncc(Cl)c1-c1cc(oc1Cl)C(=O)N[C@@H]1CN[C@H](CCO)C[C@H]1c1ccc(Cl)c(Cl)c1,2.7
51324919,Cl.Nc1ncccc1-c1nc2ccc(nc2n1-c1ccc(cc1)C1(N)CCC1)-c1ccccc1,2.7
51420669,Cl.Cn1nccc1-c1ccc(cc1F)C(=O)N[C@@H]1CNCC[C@H]1c1ccc(F)c(F)c1,2.7
330119,CC(C)N(C)CCn1cc(nc1C1CCN(CC1)c1ncnc(N)c1C#N)-c1ccc(F)c(C)c1,2.7
329781,Cn1cc(nc1C1CCN(CC1)c1ncnc(N)c1-c1ccc(cc1)C#N)-c1ccc(F)c(c1)C(F)(F)F,2.7
329908,Nc1ncnc(N2CCC(CC2)c2nc(cn2CCN2CCC2)-c2ccnc(c2)C(F)(F)F)c1-c1cnoc1,2.7
329918,CC(C)Oc1c(N)ncnc1N1CCC(CC1)c1nc(cn1CCN1CCC1)-c1ccc(F)c(C)c1,2.7
337105,O=C(Nc1csc(n1)-c1nncn1C1CC1)c1cc(c(cn1)N1CCN2CCCC2C1)-n1cnc(c1)C1CC1,2.7
337106,O=C(Nc1csc(n1)-c1nncn1C1CC1)c1cc(c(cn1)N1CCN2C(COC2=O)C1)-n1cnc(c1)C1CC1,2.7
330023,Nc1ncnc(N2CCC(CC2)c2nc(cn2CCN2CCC2)-c2ccc(F)c(c2)C(F)(F)F)c1[N+]([O-])=O,2.7
330100,CC(C)N(C)CCn1cc(nc1C1CCN(CC1)c1ncnc(N)c1C#N)-c1ccc(F)c(c1)C(F)(F)F,2.7
1135369,CN(C)CC[C@@H](NC(=O)C1(N)CCN(CC1)c1ncnc2[nH]ccc12)c1ccc(Cl)cc1,2.8
51324952,Cl.CC(=O)Nc1cccc(c1)-c1ccc2nc(-c3cccnc3N)n(-c3ccc(cc3)C3(N)CCC3)c2n1,2.8
51504415,CC(C)NC[C@@H](C(=O)N1C2CCC1CN(C2)c1ncnc2NC(=O)C[C@@H](C)c12)c1ccc(Cl)cc1,2.8
330067,CCN(CCn1cc(nc1C1CCN(CC1)c1ncnc(N)c1C#N)-c1ccc(F)c(C)c1)C(C)C,2.8
337095,FC1(F)CN(C1)c1cnc(cc1-n1cnc(c1)C1CC1)C(=O)Nc1csc(n1)-c1nncn1C1CC1,2.8
337096,COC1CCN(C1)c1cnc(cc1-n1cnc(c1)C1CC1)C(=O)Nc1csc(n1)-c1nncn1C1CC1,2.8
448006,CN(C)CC[C@H](NC(=O)C1(N)CCN(CC1)c1ncnc2[nH]ccc12)c1ccc(Cl)cc1,2.8
50445402,Nc1nnc2c3cc(-c4ccccc4)c(nc3ccn12)-c1ccc(CN2CCC(CC2)c2nnc([nH]2)-c2ccccn2)cc1,2.8
329867,Nc1ncnc(N2CCC(CC2)c2nc(cn2CCNCCCCl)-c2ccnc(c2)C(F)(F)F)c1Br,2.8
337109,O=C(Nc1csc(n1)-c1nncn1C1CC1)c1cc(c(cn1)N1CCN(CC1)C1CC1)-n1cnc(c1)C1CC1,2.8
903498,CN(C)CCCC(NC(=O)C1(N)CCN(CC1)c1ncnc2[nH]ccc12)c1ccc(Cl)cc1,2.9
51296534,Cn1ncc(Cl)c1-c1cc(oc1Cl)C(=O)N[C@@H]1CNCC[C@H]1c1ccc(Cl)c(Cl)c1,2.9
330120,CC(C)NCCn1cc(nc1C1CCN(CC1)c1ncnc(N)c1C#N)-c1ccc(F)c(C)c1,2.9
337103,FC(F)(F)CN1CCN(CC1)c1cnc(cc1-n1cnc(c1)C1CC1)C(=O)Nc1csc(n1)-c1nncn1C1CC1,2.9
50530260,N[C@H](COc1cncc(c1)-c1ccc2[nH]nc(N)c2c1)Cc1c[nH]c2ccccc12,2.9
51116613,Clc1c[nH]c2ncnc(N3CCN(CC3)C(=O)C3(CCNCC3)c3ccc(Cl)c(Cl)c3)c12,2.9
29964,N[C@H](COc1cncc(c1)-c1cc2c(Cl)n[nH]c2cn1)Cc1cccc(c1)C(F)(F)F,2.9
256479,COc1ccc2OCn3c(nc(c3-c3ccccc3)-c3ccc(cc3)C3(N)CC(C)(O)C3)-c2c1,2.9
329967,Nc1ncnc(N2CCC(CC2)c2nc(cn2CCN2CCCC2)-c2ccc(F)cc2)c1Br,2.9
329887,Nc1ncnc(N2CCC(CC2)c2nc(cn2CC2CCCN2)-c2ccc(F)c(c2)C(F)(F)F)c1C#N,2.9
51373894,NC1(CCN(CC1)c1ncnc2[nH]ccc12)C(=O)N[C@@H](CCO)c1ccc(Cl)cc1,3.0
50418203,COc1ccc(cn1)-c1nnc([nH]1)C1CCN(Cc2ccc(cc2)-c2nc3cc[nH]c(=O)c3cc2-c2ccccc2)CC1,3.0
50548479,Cc1n[nH]c2ccc(cc12)-c1cc(OC[C@@H](N)Cc2ccccc2)cnc1-c1cc(Cl)ccc1O,3.0
50453745,NCC(C(=O)Nc1ccc(s1)-c1ccnc2[nH]ccc12)c1ccccc1,3.0
50453756,CNCC(NC(=O)c1cc(Br)c(s1)-c1ccnc2[nH]ccc12)c1ccccc1,3.0
50453769,COc1ccc(C[C@@H](CN)NC(=O)c2cc(Br)c(s2)-c2ccnc3[nH]ccc23)cc1,3.0
50601478,Cc1c[nH]c2ncnc(N3CCN(CC3)C(=O)[C@H](N)Cc3ccc(F)cc3)c12,3.0
50548623,Cc1n[nH]c2ccc(cc12)-c1cc(OC[C@@H](N)Cc2c[nH]c3ccccc23)c(N)nc1-c1ccoc1C,3.0
50548648,Cc1n[nH]c2ncc(nc12)-c1cc(OC[C@@H](N)Cc2c[nH]c3ccccc23)c(C)nc1-c1ccoc1,3.0
50552460,NC1(Cc2ccc(Cl)cc2)CCN(CC1)c1ncnc2[nH]ccc12,3.0
50563555,N[C@H](CNc1nnc(s1)-c1ccc2cnccc2c1)Cc1ccc(cc1)C(F)(F)F,3.0
50571874,CCn1c(nc2c(nc(CCCN)cc12)C#CC(C)(C)O)-c1nonc1N,3.0
50571875,CCn1c(nc2c(nc(CNC)cc12)C#CC(C)(C)O)-c1nonc1N,3.0
50571884,CCn1c(nc2c(nc(OC[C@H](N)c3ccccc3)cc12)C#CC(C)(C)O)-c1nonc1N,3.0
50571887,CCn1c(nc2c(nc(OC[C@@H](N)Cc3ccccc3)cc12)C#CC(C)(C)O)-c1nonc1N,3.0
50571889,CCn1c(nc2c(nc(O[C@H](CN)c3ccccc3)cc12)C#CC(C)(C)O)-c1nonc1N,3.0
50612077,C[C@@H]1SCc2ncnc(N3CCN(CC3)C(=O)C(CN3CCCC3)Cc3ccc(Cl)cc3)c12,3.0
50612078,CC(C)NCC(Cc1ccc(C)cc1)C(=O)N1CCN(CC1)c1ncnc2CS[C@@H](C)c12,3.0
50612083,C[C@@H]1SCc2ncnc(N3CCN(CC3)C(=O)C(Cc3ccc(Cl)c(F)c3)CC3(N)CC3)c12,3.0
50612088,CC(C)NC[C@H](Cc1ccc(Cl)cc1)C(=O)N1CCN(CC1)c1ncnc2CO[C@@H](C)c12,3.0
50630667,Cc1noc(C)c1S(=O)(=O)NC[C@@H](O)CN1CCC[C@@]2(CCN(C2)c2ncnc(N)c2C2CC2)C1,3.0
50585632,Cc1c[nH]c2ncnc(N3CC[C@](N)(CNC(=O)c4ccc(F)cc4)C3)c12,3.0
51047206,NC1(CCN(CC1)c1ncnc2[nH]ccc12)C(=O)N[C@H](CCO)c1ccc(Cl)cc1,3.0
50612076,CC(C)NCC(Cc1ccc(Cl)cc1)C(=O)N1CCN(CC1)c1ncnc2CS[C@@H](C)c12,3.0
50924815,C[C@@H]1CC(=O)Nc2ncnc(N3CCC(CC3)c3nc(cn3CCN3CCCC3)-c3ccc(F)c(c3)C(F)(F)F)c12,3.0
903487,NCCC(NC(=O)C1(N)CCN(CC1)c1ncnc2[nH]ccc12)c1ccc(Cl)cc1,3.0
875733,Cn1c2ccc(NC(=O)C=C)cc2n(C2CCN(Cc3ccc(cc3)-c3nc4cc[nH]c(=O)c4cc3-c3ccccc3)CC2)c1=O,3.0
51296597,O[C@H]([C@@H](O)C(O)=O)C(O)=O.Cn1ncc(Cl)c1-c1cc(oc1Cl)C(=O)N[C@@H]1CNCC[C@H]1c1ccc(F)c(F)c1,3.0
45209,CCn1c(nc2c(ncc(OCC[C@@H](N)Cc3ccccc3)c12)C#CC(C)(C)O)-c1nonc1N,3.0
45213,CCn1c(nc2c(ncc(OC[C@@H]3CCCNC3)c12)C#CC(C)(C)O)-c1nonc1N,3.0
45215,CCn1c(nc2c(ncc(OCCCNC[C@H](O)CO)c12)C#CC(C)(C)O)-c1nonc1N,3.0
282783,Cc1cccc(n1)-c1nc(n[nH]1)C1CCN(Cc2ccc(cc2)-c2nc3nccn3cc2-c2ccccc2F)CC1,3.0
326869,CC1Cc2cc(F)ccc2N1C(=O)Cc1nc(N2CCOCC2)c(F)c(=O)[nH]1,3.0
292862,Clc1cccc2N(CCc12)C(=O)Cc1nc(cc(=O)[nH]1)N1CCOCC1,3.0
292873,Cc1cccc2N(CCc12)C(=O)Cc1nc(cc(=O)[nH]1)N1CCOCC1,3.0
326950,CC1Cc2c(cccc2Br)N1C(=O)Cc1nc(cc(=O)[nH]1)N1CCOCC1,3.0
329950,Nc1ncnc(N2CCC(CC2)c2nc(cn2CCN2CCCC2)-c2ccc(O)c(c2)C(F)(F)F)c1Cl,3.0
